answer,choices,question,subject
1,"[""when a raccoon scurries up its trunk"", ""when a beaver uses it to a stop up a flowing river"", ""when a possum hides in its branches"", ""when an owl lives in it""]",A tree is dead,
3,"[""affection"", ""hugs"", ""love"", ""punches""]",Something that could cause harm to an animal could be,
1,"[""that is a new phenomenon"", ""that is expected due to the axis"", ""that is very scary"", ""that is rare and unusual""]","If the stars in the sky above your home vary from month to month,",
0,"[""the earths position compared to the sun has shifted"", ""rain has started falling"", ""leaves have fallen from the trees"", ""the squirrels are gathering nuts""]",Why would it be summer one day and fall another day?,
0,"[""rubbing noses"", ""swimming in Antartica"", ""touching ice"", ""sitting in freezers""]",A source of heat might be,
1,"[""sleep all day"", ""exercise daily"", ""eat snacks often"", ""stay up late""]",What is one way that humans can maintain good health?,
3,"[""deer are hunted to keep population levels in check"", ""birds fly south for the winter"", ""deer relocate in order to find better food"", ""hawks hunt all of the mice from a field""]",What is an example of endangered?,
1,"[""Eye color is a learned trait."", ""Eye color is an inherited trait."", ""Eye color is a trait that changes over time."", ""Eye color is a trait that happens by chance.""]",Eye color is a physical trait. Which statement best explains why a child has a specific eye color?,
0,"[""shape of earlobes"", ""musical ability"", ""personality"", ""language""]",Which trait do children most likely inherit from their parents?,
3,"[""Light-colored clothes let more air in."", ""Light-colored clothes prevent sweating."", ""Light-colored clothes are not as heavy as dark-colored clothes."", ""Light-colored clothes reflect more sunlight than dark-colored clothes.""]",Why is it better to wear a white T-shirt than a dark blue T-shirt in the summer?,
2,"[""breathe air."", ""walk upright."", ""are made of cells."", ""use sunlight for growth.""]",A common characteristic of all living things is that they,
1,"[""Viruses replicate more rapidly over time."", ""Viruses can mutate from year to year."", ""Vaccines are absorbed by the body after a year."", ""Vaccines get stronger over time.""]",Why do doctors suggest that people get a flu vaccine each year?,
3,"[""tallness"", ""height"", ""length"", ""fatness""]",A scale is used to measure what?,
1,"[""the sun is setting"", ""vapor transformed into droplets"", ""the moon is rising"", ""the windshield is dissolving""]","if you see little wet spots on your windshield, what might have happened?",
0,"[""deal with gas"", ""Talk for hours"", ""Thinking"", ""Running""]",We have respiration in our bodies to,
2,"[""being environmental is considered hot"", ""someone smokes near a forest"", ""condensed tree areas are ablaze"", ""tree patterns are similar to fire""]",wildfire occurs when,
1,"[""the sun"", ""opposite"", ""through magic"", ""the same""]",The moon sees eclipses what from Earth?,
2,"[""movement of the tides"", ""prevalent or trade winds"", ""seasonal changes in the climate"", ""light and dark changes of day and night""]",Which occurs as a result of Earth's tilt on its rotating axis?,
2,"[""glass shards"", ""rubber pipes"", ""log portions"", ""plastic spoons""]","A girl wants to use a renewable resource to build a house, so she uses",
2,"[""dirt"", ""air"", ""h2o"", ""fire""]",What will be more available in an area when rain is common?,
3,"[""glaciers"", ""mountains"", ""rainstorms"", ""years""]",A large crevasse was carved in the western United States over many,
0,"[""leaf"", ""root"", ""seed"", ""flower""]",Which part of a plant is used to absorb sunlight during photosynthesis?,
0,"[""weight"", ""eye color"", ""blood type"", ""handedness""]",Which characteristic is affected by interactions with the environment?,
0,"[""it runs without fuel"", ""it helps people stay in shape"", ""they are cheaper to maintain"", ""they are more fun to drive""]",Riding a two wheeled human powered vehicle is good for the environment because,
1,"[""freshwater rivers and saltwater oceans"", ""liquid oceans and solid glaciers"", ""atmospheric vapor and cloud droplets"", ""water in soil and water in plants""]",The temperature at which water freezes enables water to exist in which two forms on Earth?,
2,"[""Jupiter"", ""Venus"", ""the Sun"", ""the Moon""]",Which promotes the creation of serotonin?,
3,"[""Water vapor becomes ice."", ""Liquid water becomes ice."", ""Water vapor becomes liquid water."", ""Liquid water becomes water vapor.""]",Which occurs as the kinetic energy of water molecules increases?,
0,"[""Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts."", ""Mitochondria and chloroplasts arise from preexisting endomembrane systems."", ""Mitochondria and chloroplasts are synthesized in the nucleus."", ""Mitochondria and chloroplasts are synthesized in ribosomes.""]","Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?",
3,"[""islands"", ""winds"", ""currents"", ""fauna""]",Consumers eat other what?,
0,"[""gains one electron."", ""loses one electron."", ""gains one proton."", ""loses one proton.""]",An atom becomes an ion with a -1 charge because the atom,
0,"[""Putting on sunscreen in a sunny place"", ""Growing grass in a field"", ""Having a drink of water on a warm day"", ""Going for a walk outside""]",An example of adapting to survive is,
0,"[""pooping"", ""feelings"", ""time travel"", ""screaming""]",A deer created a rose garden by,
1,"[""the squirrel studies"", ""the squirrel leaves"", ""the squirrel breeds"", ""the squirrel flies""]","A squirrel eats all of the acorns in a tree. The tree is empty, and the squirrel is still hungry, so",
1,"[""ten"", ""twelve"", ""eight"", ""four""]",How many seasons occur in the span of three years,
0,"[""A mega Museum"", ""A solid"", ""Jello"", ""Candy""]",The sea is,
3,"[""A population is smaller than a community."", ""A population is larger than a community."", ""A population includes communities of organisms interacting."", ""A community includes populations of organisms interacting.""]",What is the relationship between a community and a population?,
3,"[""its climate"", ""its great seas"", ""its atmosphere"", ""its mountain ranges""]",Which physical characteristic of Earth is similar to a physical characteristic of the Moon?,
3,"[""The reproductive organs produce sex cells."", ""The nerves carry signals from the eye to the brain."", ""The bones and muscles of the hand work together to grip a pencil."", ""The muscles of the chest tighten to push carbon dioxide out of the lungs.""]",Which best describes two organ systems working together to help maintain homeostasis?,
1,"[""stimuli"", ""adaptation"", ""movies"", ""adoption""]",The sloth's lack of urgency is a great example of,
1,"[""beside a streetlight"", ""the countryside"", ""the big city"", ""beside a skyscraper""]",If a person enjoys star gazing the best place to live is,
2,"[""All elements in period 2 are metals."", ""All elements in group 18 are metals."", ""Metals are found on the left side of the periodic table."", ""Metals are found on the right side of the periodic table.""]",Which sentence about the periodic table of elements is true?,
1,"[""plants will continue to flourish"", ""ponds may dry up"", ""tadpoles will mature faster into frogs"", ""animals will experience a boom in reproduction""]",If an environment experiences harsh climates,
2,"[""led"", ""High Pressure Sodium"", ""incandescence"", ""compact florescence""]",join a negative and a positive charge through a rare metal in a gas filled globe is known as,
0,"[""a brook"", ""a field"", ""a jungle"", ""a coven""]","If a bass is returned to its home, it is placed in",
3,"[""grumpy"", ""brainless"", ""magical"", ""pea brained""]",Reptiles may actually be,
0,"[""wind patterns."", ""cloud formation."", ""volcanic activity."", ""water condensation.""]","Air in the atmosphere is heated unevenly by the sun, causing",
3,"[""children"", ""a progeny"", ""offspring"", ""nothing""]",Two females usually can produce,
1,"[""died"", ""birthed"", ""flown"", ""ran""]",When the Platypus emerges and new life into the pouch it has been,
0,"[""a human garbage dump"", ""an icy barren tundra"", ""an arid desert plain"", ""a tropical rain forest""]",A raccoon be most likely to live near which of the following?,
1,"[""the plains"", ""the moon base"", ""the desert"", ""the fields""]",Which is least likely to be an ecosystem?,
1,"[""weather patterns"", ""earths movement pattern"", ""weather changes"", ""weather cycles""]",Seasons are caused by,
0,"[""frozen"", ""gone"", ""evaporated"", ""dry""]",You can eventually obtain water from a lake even if it's,
0,"[""Sarah"", ""Metal"", ""Cars"", ""Wood""]",Some species of sea anemones may be highly toxic to whom?,
3,"[""running"", ""jumping"", ""magic"", ""rain""]",Sediment is a result of the process of,
3,"[""beads"", ""tea"", ""presents"", ""kidneys""]",Living things which require warmth likely also require,
2,"[""water"", ""anger"", ""warm rays"", ""solar eclipse""]",If something is in the sunlight what will it absorb?,
2,"[""Silicon"", ""Phosphorus"", ""Carbon"", ""Hydrogen""]",Decomposition results in the production of which element?,
3,"[""only in erupting volcanoes."", ""only under great pressure and high temperatures."", ""below Earths surface as magma cools and crystallizes."", ""from materials that settle.""]","Typically, sedimentary rocks are formed",
0,"[""vision enhancing aid"", ""series of mirrors"", ""toothpick"", ""glass eye""]",Tiny nits may be seen best when using a,
0,"[""the water decreases"", ""it stays same"", ""the water increases"", ""the water hardens""]",What happens to body water when animal activity rises,
1,"[""frigid"", ""parched"", ""rainy"", ""tropical""]",A desert environment is,
3,"[""acceleration resistance"", ""appearance"", ""temperature"", ""mass amount""]","As a matters state changes, what will remain constant?",
1,"[""carbon"", ""nitrogen"", ""oxygen"", ""argon""]",Which element makes up most of the air we breathe.,
0,"[""Eat a cucumber"", ""Go running"", ""Eat dust"", ""Go swimming""]",If I wanted to get energy what could I do?,
1,"[""increase."", ""decrease."", ""remain the same."", ""become extinct.""]","If its food supply in a field decreases, the mouse population in that field will probably",
0,"[""eliminate waste materials"", ""respond to stimuli"", ""break down food mechanically"", ""absorb nutrients from food""]",What is the major function of the human excretory system?,
0,"[""ruler"", ""beaker"", ""balance"", ""compass""]",Which tool is used to measure the diameter of a dime?,
3,"[""sport team"", ""water bill"", ""dating pool"", ""infestation""]",Large metropolises can have a huge bedbug,
0,"[""fossilized matter"", ""sand"", ""water"", ""air""]",Gasoline is unable to exist without the addition of raw materials such as,
1,"[""moonlight"", ""undergo natural development"", ""starlight"", ""dairy""]",Flora requires chlorophyll to,
3,"[""root"", ""bud"", ""bacteria"", ""specialized compartment""]",Leaves are the part of a plant with the most a type of,
2,"[""glacier sheets"", ""blue songs"", ""groves"", ""underwater trenches""]",Teak can be found in,
3,"[""organ system -> tissue -> cell -> organ"", ""tissue -> cell -> organ -> organ system"", ""organ -> organ system -> tissue -> cell"", ""cell -> tissue -> organ -> organ system""]",Which sequence lists the levels of organization in the human body from simplest to most complex?,
3,"[""have many babies"", ""thrive"", ""build a home"", ""die""]",If a reptile were taken to the iceland it would,
0,"[""a month"", ""a year"", ""a week"", ""a day""]",a complete lunar cycle takes about,
2,"[""a hot golden leaf"", ""a cold deep sea"", ""a raised portion of land"", ""a sunken valley of ice""]","A mountain top heats and lava flows, resulting in",
0,"[""works against motion"", ""stops motion"", ""removes forward motion"", ""makes things rough""]","When wheels are squealing on a blacktop, friction",
2,"[""go naked"", ""drink wine"", ""avoid it occasionally"", ""wear a coat""]",If I am out in the sun all day I should,
3,"[""broken glass"", ""a mess"", ""toxic fumes"", ""fiberglass""]",Combining resin and glass mat with a catalyst will result in,
1,"[""fluid"", ""seeds"", ""fibers"", ""skin""]",A kumquat is more likely than a steak to have,
1,"[""liberal tears"", ""bat urine"", ""salty ocean water"", ""granite statues""]",One component of rock formations in caves is,
3,"[""rocks"", ""plastic food"", ""metal"", ""nutriment""]",What is a source of energy for animals?,
2,"[""heat"", ""liquid"", ""entire appearance"", ""shape keys""]",Tearing an object changes that object's what?,
0,"[""prey numbers will boom"", ""the amount of prey will go down"", ""new predators will arrive"", ""all populations will increase""]","When a predator population decreases in an environment, what happens to other populations?",
3,"[""Plastic"", ""Metal"", ""Concrete"", ""Rain""]",What is a renewable resource?,
0,"[""salmon"", ""fishing boats"", ""mammals"", ""penguins""]",Gills are used to breath water by what?,
3,"[""melting"", ""freezing"", ""evaporation"", ""condensation""]",During which of the processes below does water vapor change to liquid water?,
1,"[""a peaceful guru"", ""a sedan"", ""a steak"", ""a cat""]",A good candidate for putting sticking a reflector to is,
3,"[""to a cow"", ""to a moon"", ""to a jail"", ""to a duplex""]",A person going home would head,
3,"[""growth"", ""encouragement"", ""consideration"", ""ruination""]",A person who hunts lions down for trophy prizes contributes to their species',
0,"[""provender"", ""pandas"", ""friends"", ""emotions""]",Plants might use water and sucrose to create their own,
3,"[""unicorns"", ""santas flying reindeer"", ""trumps windy speeches"", ""cloth on masts""]",An early example of harnessing wind power would be,
2,"[""a brain dead frog in mud"", ""a frog napping for an hour in mud"", ""a frog burying itself in mud for months"", ""a frog sleeping for the night in mud""]",Which can best be described as hibernation for most amphibians?,
3,"[""icebergs"", ""jewelry store"", ""lakes"", ""mountains""]",Where's the best place to mine for coal?,
0,"[""Southern cave crayfish"", ""lobster"", ""cod"", ""salmon""]",Which animal lacks the ability to see by sensing light?,
0,"[""bubbles are seen"", ""food is cold"", ""water is warm"", ""salt is added""]","A pot of cold water, with heat now applied, may be noted to have reached its boiling point when",
3,"[""think very hard until you figure it out"", ""ask the person who invented it"", ""throw it in a lake and see if it floats"", ""break it down and determine what it is composed of""]",How might you figure out what a parts are needed to let your car drive?,
1,"[""carbon dioxide"", ""the closest star"", ""blood"", ""oxygen""]","Ultimately, what one thing is needed for energy for any living thing on Earth?",
0,"[""they are symbiotic with"", ""are their main prey"", ""are already bleeding out"", ""they like the taste of""]",A shark will generally avoid eating fish that,
0,"[""leafy greens and steak"", ""only that which inhabits the sea"", ""only steaks or burgers"", ""only that which grows from the ground""]",Omnivores would dine on,
3,"[""distraction"", ""confusion"", ""control"", ""designating""]",Classes and categories are both part of,
1,"[""snow"", ""electricity"", ""wood"", ""bananas""]",What type of product can be made from the moving winds?,
2,"[""that is an unusual feature"", ""most heads are round"", ""a parent probably had a round head"", ""there is fluid on the brain""]",If a head is exceptionally round,
2,"[""Solar"", ""Wind"", ""Natural Gas"", ""Hydropower""]",All of the following but which would be considered renewable energy sources?,
3,"[""growing"", ""melting"", ""erupting"", ""creasing""]",the alps were formed by rock what?,
3,"[""sense of humor"", ""temper"", ""aversion to garlic"", ""nose""]","A son inherits a feature from his father through DNA, so the son is likely to have his dad's",
3,"[""affection"", ""magic"", ""my heart"", ""exploding hot liquid""]",A koala's home can be destroyed because of,
